,time, J/Day ,EC급액,EC배액,pH급액,pH배액,온도토양,온도급액,온도배액,내부이산화탄소,내부광량,평균온도(℃)
0,2021-10-01,1458.15625,,,,,,,,,,
1,2021-10-02,2277.30625,,,,,,,,,,
2,2021-10-03,2167.0,,,,,,,,,,
3,2021-10-04,2172.1497418244408,,,,,,,,,,
4,2021-10-05,1991.8630993745658,,,,,,,,,,
5,2021-10-06,2128.4,,,,,,,,,,
6,2021-10-07,2032.91875,,,,,,,,,,
7,2021-10-08,2016.05,,,,,,,,,,
8,2021-10-09,1390.8957609451008,,,,,,,,,,
9,2021-10-10,1849.1375,,,,,,,,,,
10,2021-10-11,1544.93125,,,,,,,,,,
11,2021-10-12,262.98125,,,,,,,,,,
12,2021-10-13,424.9026898734177,,,,,,,,,,
13,2021-10-14,1252.89375,,,,,,,,,,
14,2021-10-15,2027.1625,,,,,,,,,,
15,2021-10-16,1410.88125,,,,,,,,,,
16,2021-10-17,448.93125,,,,,,,,,,
17,2021-10-18,2186.75,,,,,,,,,,
18,2021-10-19,2144.16875,,,,,,,,,,
19,2021-10-20,1693.83125,,,,,,,,,,
20,2021-10-21,1666.76875,,,,,,,,,,
21,2021-10-22,1632.15,,,,,,,,,,
22,2021-10-23,1974.21875,,,,,,,,,,
23,2021-10-24,2006.14375,,,,,,,,,,
24,2021-10-25,1553.90625,2.6264024630996308,3.684453856088561,5.960450184501845,6.661472324723247,20.862776752767527,22.001729704797047,21.36963791512915,405.2011070110701,129.4587553431734,21.808696230012302
25,2021-10-26,1856.725,2.5651362801932365,3.6053621376811593,5.991488526570048,6.682603260869565,20.14156853864734,20.97188254830918,20.65847675120773,436.33635265700485,128.43246895350242,20.994685694444442
26,2021-10-27,1812.275,2.6545453662182363,3.7081501793721974,6.002562032884903,6.773828101644245,21.08641629297459,22.77625186846039,22.192451420029894,370.7249626307922,235.4260846188341,23.071717055306426
27,2021-10-28,1698.16875,2.619361722319859,3.5942848681898063,6.13888137082601,6.703831282952549,21.54130052724077,22.20381151142355,21.793497363796135,426.74340949033393,20.375191829525484,20.933018295254833
28,2021-10-29,1883.55,2.516765427777778,3.5423934277777778,6.1020900000000005,6.730763333333333,20.16107638888889,20.74996527777778,20.52520833333333,482.4483333333333,25.01943380222222,20.08155612592593
29,2021-10-30,1806.89375,2.383204232531501,3.5011291981672397,6.185694158075601,6.76180412371134,18.053837342497136,17.869272623138603,17.861433276059564,593.7892325315006,11.069111310423825,18.12975214012982
30,2021-10-31,999.875,,,,,,,,,,
31,2021-11-01,1774.09375,2.5723523099415204,3.694475964912281,5.9420087719298245,6.852312865497076,11.06469298245614,18.796235380116958,18.696820175438596,424.84795321637426,57.335678497076024,21.64842687134503
32,2021-11-02,1630.053035589672,,,,,,,,,,
33,2021-11-03,1668.3103448275863,,,,,,,,,,
34,2021-11-04,1696.55625,,,,,,,,,,
35,2021-11-05,1623.5125,,,,,,,,,,
36,2021-11-06,1230.1375,,,,,,,,,,
37,2021-11-07,1569.2125,,,,,,,,,,
38,2021-11-08,1437.2375,,,,,,,,,,
39,2021-11-09,362.0,,,,,,,,,,
40,2021-11-13,1004.946025515211,,,,,,,,,,
41,2021-11-14,1559.15,,,,,,,,,,
42,2021-11-15,1423.925,,,,,,,,,,
43,2021-11-16,1411.28125,,,,,,,,,,
