현재EC(dS),현재PH(pH),누적일사(J),J/Day,EC급액,pH급액,내부CO2,습도,평균온도
3.3,3.9,0.0,2043.0,4.564017925205013,5.706702413562118,506.09148618785923,90.7727925072002,21.36924641455903
3.3,3.7766666666666655,0.0,2043.0,4.564017925205013,5.706702413562118,506.09148618785923,90.7727925072002,21.36924641455903
2.82,5.026666666666667,484.6,2043.0,4.8195215951609445,5.723709677262309,572.0684539861011,88.89949557242528,28.50379779617241
2.953333333333333,5.116666666666666,749.8,2043.0,6.092151148776242,5.78724726596317,539.1780845417209,88.7221287761457,30.01597025104968
2.8366666666666664,5.16,1035.5666666666666,2043.0,6.309249832403175,5.767071540431049,520.8026044401232,87.84943630537676,31.394817948468642
2.96,5.16,1316.5666666666666,2043.0,6.107631492406897,5.766890480119898,401.46954260021914,88.43395280737874,31.397578803289633
2.9066666666666667,5.176666666666667,1570.7666666666669,2043.0,6.131952589197654,5.779249742421994,318.4690359677844,89.58674412228675,30.56696236340944
2.933333333333333,5.133333333333334,1775.0,2043.0,6.233075405420266,5.794470717801552,275.5720669081388,90.16769350281812,28.147355519331775
2.993333333333333,5.053333333333333,1894.0333333333333,2043.0,6.125493937142481,5.81842861428486,301.0402481017285,96.82368405662807,22.469600022473678
3.033333333333333,4.98,1915.6333333333332,2043.0,6.028716948331655,5.831361323106094,324.2957255932715,96.85558367567567,21.118163644643857
3.056666666666666,4.916666666666667,1919.0,2043.0,5.959818814852177,5.843450301306071,346.6670567344236,96.85558367567567,20.72246494777381
3.006666666666667,4.9,1919.0,2043.0,5.959818814852177,5.843450301306071,346.6670567344236,96.85558367567567,20.72246494777381
3.3,3.686666666666667,0.0,2043.0,4.564017925205013,5.706702413562118,506.09148618785923,90.7727925072002,21.36924641455903
3.0,4.863333333333333,1919.0,2043.0,5.959818814852177,5.843450301306071,346.6670567344236,96.85558367567567,20.72246494777381
3.0,4.816666666666666,1919.0,2043.0,5.959818814852177,5.843450301306071,346.6670567344236,96.85558367567567,20.72246494777381
3.03,4.73,1919.0,2043.0,5.959818814852177,5.843450301306071,346.6670567344236,96.85558367567567,20.72246494777381
3.1,4.65,1599.1666666666667,2022.3333333333333,5.983693125514487,5.8577977322535,378.3255063928733,100.0,18.77750207281093
