,날짜,EC급액,EC배액,pH급액,pH배액,내부이산화탄소,평균온도,J/Day
122,2021-11-03 13:00:00,5.63054159574468,5.605951170212767,6.006765957446808,6.140414893617021,499.4255319148936,29.572393617021273,1216.0
123,2021-11-03 14:00:00,5.368183717277487,5.377365706806282,6.016434554973822,6.153094240837696,381.3874345549738,28.607958115183244,1216.0
124,2021-11-03 15:00:00,5.327656885245902,5.38896262295082,6.0279890710382515,6.220770491803279,326.30601092896177,26.028306010928965,1216.0
125,2021-11-03 16:00:00,5.308778695652174,5.341746521739131,6.051032608695652,6.287673913043478,295.4130434782609,22.17907608695652,1216.0
126,2021-11-03 17:00:00,5.189920837696334,5.166537748691099,6.092287958115183,6.3023664921465965,321.26178010471205,18.549476439790574,1216.0
127,2021-11-03 18:00:00,5.107554301075269,5.055073279569893,6.1015107526881724,6.343080645161291,354.31182795698925,18.030752688172043,1216.0
128,2021-11-03 19:00:00,5.0602809944751375,5.0030400552486185,6.128624309392265,6.352016574585635,387.21546961325964,17.594917127071824,1216.0
129,2021-11-03 20:00:00,5.014619533678756,4.95480621761658,6.13860103626943,6.355419689119171,415.0777202072539,17.270880829015546,1216.0
130,2021-11-03 21:00:00,4.993930572916667,4.948769479166667,6.1477916666666665,6.377848958333334,437.484375,17.409947916666667,1216.0
131,2021-11-03 22:00:00,5.0029046808510635,4.964231223404256,6.156154255319149,6.39025,457.8404255319149,17.57223404255319,1216.0
132,2021-11-03 23:00:00,5.00643057591623,4.961318586387435,6.163685863874345,6.390204188481675,476.3193717277487,17.338219895287956,1236.0
133,2021-11-04 00:00:00,4.99461355670103,4.94923206185567,6.166474226804124,6.391170103092783,493.3659793814433,17.346597938144328,1336.0
134,2021-11-04 01:00:00,5.0071729591836736,4.961956479591836,6.171382653061224,6.396836734693878,510.6173469387755,17.546224489795918,1336.0
135,2021-11-04 02:00:00,5.013134444444444,4.967083888888889,6.174703703703704,6.39812962962963,519.3333333333334,17.46425925925926,1336.0
136,2021-11-12 09:00:00,2.657813375796178,4.502809363057325,5.231713375796178,5.9014904458598725,558.1974522292994,19.132611464968154,493.0
137,2021-11-12 10:00:00,5.086283468208093,5.8858526589595375,5.507815028901734,5.877543352601156,657.3236994219653,19.30236994219653,493.0
138,2021-11-12 11:00:00,6.552251329787234,6.045556276595745,5.684585106382979,5.891276595744681,567.5372340425532,16.932287234042555,493.0
139,2021-11-12 12:00:00,6.997490105263158,6.850584684210527,5.732778947368422,5.905136842105263,628.1210526315789,18.581105263157895,493.0
140,2021-11-12 13:00:00,7.0274071354166665,6.914466510416666,5.7347552083333335,5.909567708333333,599.96875,17.4765625,493.0
141,2021-11-12 14:00:00,7.037868809523809,7.016084166666667,5.75675,5.9348214285714285,544.047619047619,17.594285714285714,493.0
142,2021-11-12 15:00:00,7.053624748603352,7.092564022346369,5.755368715083799,5.949664804469274,553.4301675977654,17.503296089385476,493.0
143,2021-11-12 16:00:00,7.027288888888889,7.090162751322752,5.751232804232804,5.944306878306878,625.6560846560847,16.645238095238096,493.0
144,2021-11-12 17:00:00,6.955729949238579,7.060324974619289,5.756659898477157,5.947121827411168,599.9086294416244,16.393401015228427,493.0
145,2021-11-12 18:00:00,6.897602164948453,7.0147250515463915,5.761701030927835,5.9550670103092775,622.5412371134021,15.618350515463918,493.0
