time,EC급액,EC배액,pH급액,pH배액,저울급액,저울배액,온도토양,온도급액,온도배액,내부이산화탄소,내부광량,내부PT100온도센서1번건구,내부PT100온도센서2번습구,내부PT100온도센서3번,내부PT100센서를이용한계산습도
2021-11-10 12,3.134467284768212,5.3452759602649005,6.111364238410596,5.5318079470198676,8.361795821192054,0.0026935231788079474,17.193708609271525,18.699917218543046,18.799668874172184,356.13907284768214,34.536123649006626,22.26439119205298,20.36485430463576,19.497797417218543,89.01099629139073
2021-11-10 13,3.1492355555555553,5.400006666666666,6.116659722222222,5.524145833333333,8.150847256944445,0.0004765643433680556,17.671006944444443,19.032552083333332,19.03472222222222,306.43055555555554,93.80737645833334,22.010089236111114,20.185340902777778,21.256055694444445,89.40860368055556
2021-11-10 14,3.2156669047619046,5.710989880952381,6.044505952380952,5.486428571428571,8.16994675,0.0004770304674642857,18.52827380952381,20.564732142857142,20.561755952380953,226.48809523809524,95.53469803571429,24.600205238095235,22.47406607142857,24.067567202380953,87.98311208333332
2021-11-10 15,3.269514295302013,5.767595503355705,6.0228187919463085,5.522604026845638,8.284692020134228,0.23361515436241612,20.0876677852349,21.296979865771814,21.19756711409396,180.88590604026845,66.64518290604026,24.469770738255033,22.252150067114094,22.435387651006714,87.47549308724832
2021-11-10 16,3.140324013605442,5.639354897959184,6.027748299319728,5.574040816326531,8.211208768707483,0.37997040816326527,19.82908163265306,19.525085034013607,19.8656462585034,194.61904761904762,6.4730635170068025,21.1217606122449,19.338881020408163,17.82191857142857,89.5684674829932
2021-11-10 17,2.9246684105960266,5.288130331125828,6.132682119205298,5.617900662251656,8.15304982781457,0.37054387417218543,18.762831125827816,16.120860927152318,16.56498344370861,227.46357615894038,0.008232443708609271,16.890155364238414,15.398996225165563,14.101413642384104,90.93678105960265
2021-11-10 18,2.7977058641975305,5.038376543209877,6.232438271604938,5.646512345679012,8.11265101851852,0.36521143209876544,17.512345679012345,13.987268518518519,14.300154320987655,258.5617283950617,0.005595228395061729,15.237055802469136,14.043019012345678,12.73893512345679,92.58857827160493
2021-11-10 19,2.7346495061728393,4.894395987654321,6.2971049382716044,5.667234567901234,8.083808475308642,0.3623901975308642,16.260416666666668,12.88966049382716,13.080632716049383,288.9753086419753,0.0003197283950617284,14.412478209876543,13.36916438271605,12.249483271604939,93.45507339506173
2021-11-10 20,2.7162738607594936,4.847255063291139,6.350246835443039,5.679873417721518,8.060173183544304,0.36153451898734174,15.236946202531646,12.632120253164556,12.74248417721519,312.63291139240505,0.013604588607594937,14.441813037974685,13.488909683544303,12.63328917721519,94.00747537974684
2021-11-10 21,2.711440909090909,4.83265916083916,6.393314685314685,5.691300699300699,8.038214174825175,0.3607430839160839,14.444055944055943,12.58784965034965,12.658216783216783,336.74825174825173,0.007968587412587413,14.434726993006992,13.471709020979022,12.61309937062937,93.94524713286714
2021-11-10 22,2.712395394736842,4.845523289473684,6.409861842105263,5.700934210526316,8.01721355263158,0.3603416052631579,13.885690789473685,12.73108552631579,12.832236842105264,357.3355263157895,0.015504657894736843,14.745725394736843,13.78513480263158,13.108066513157894,93.97424460526315
2021-11-10 23,2.714653178807947,4.857507549668874,6.418443708609272,5.705900662251656,7.99562582781457,0.3596045231788079,13.493791390728477,12.848096026490067,12.935430463576159,376.50331125827813,0.011662622516556292,14.853756754966886,13.877793443708612,12.978855562913907,93.88539046357616
2021-11-11 00,2.714083716216216,4.865907567567567,6.454087837837838,5.710155405405405,7.9750126013513505,0.35831595270270267,13.198057432432432,12.901182432432432,12.983108108108109,393.36486486486484,0.011549054054054054,14.89399222972973,13.916758108108107,13.018878581081081,93.8795262162162
2021-11-11 01,2.707751232876712,4.8602111643835615,6.476506849315069,5.715520547945205,7.953993842465754,0.3577021780821918,12.92123287671233,12.819349315068493,12.852739726027398,410.2260273972603,0.015787075342465755,14.619882602739727,13.659815205479452,12.819666438356164,93.97180582191781
2021-11-11 02,2.6997304,4.858965866666667,6.50732,5.71928,7.94090304,0.35634602666666665,12.759166666666667,12.743333333333334,12.813333333333333,421.0,0.0024171333333333333,14.6309272,13.637789733333333,12.555612266666667,93.77036613333334
2021-11-11 15,3.395675308641975,5.9623938271604935,5.941246913580247,5.741123456790124,8.250128209876543,1.2241823580246913,22.675154320987655,23.304783950617285,23.494598765432098,178.03703703703704,55.62259543209876,25.910969753086423,23.61386802469136,23.428943456790122,87.18297679012345
2021-11-11 16,3.3168994736842103,5.8154354385964915,5.940573099415205,5.765076023391813,8.178521748538012,1.2178258538011697,22.383040935672515,21.672514619883042,22.047149122807017,185.53801169590642,17.446394573099415,23.334318713450294,21.34685842105263,20.35337789473684,88.61737789473685
2021-11-11 17,3.0651547794117646,5.456309117647059,6.035735294117647,5.800257352941177,8.115009080882354,1.2046061029411763,21.363051470588236,18.186580882352942,18.72104779411765,217.9558823529412,0.018471294117647058,18.910545220588237,17.304039411764705,16.288196838235294,90.41992242647059
