,farm_id,number,date,floweringNode,numberOfTheFlower,numberOfTheFlowerPerTruss
0,tom1,088,20220102,13,1,13
1,tom1,064,20210909,5,1,5
2,tom1,066,20210909,5,1,5
3,tom1,067,20210909,6,1,6
4,tom1,067,20210909,6,1,6
5,tom1,074,20210908,6,1,6
6,tom1,074,20210908,6,1,6
7,tom1,079,20210906,5,1,5
8,tom1,079,20210908,6,1,6
9,tom1,082,20210908,6,1,6
10,tom1,083,20210908,6,1,6
11,tom1,086,20210908,6,1,6
12,tom1,087,20210906,5,1,5
13,tom1,089,20210908,6,2,6
14,tom1,089,20210908,6,1,6
15,tom1,092,20210908,6,1,6
16,tom1,096,20210908,6,1,6
17,tom1,096,20210908,6,1,6
18,tom1,099,20210908,6,1,6
19,tom1,099,20210908,6,1,6
20,tom1,015,20210930,8,1,8
21,tom1,015,20210930,8,1,8
22,tom1,021,20210930,8,1,8
23,tom1,023,20210930,8,1,8
24,tom1,028,20210930,8,1,8
25,tom1,028,20210930,8,1,8
26,tom1,060,20211001,7,1,7
27,tom1,060,20211001,7,1,7
28,tom1,060,20211001,7,1,7
29,tom1,061,20211002,3,1,3
30,tom1,061,20211002,3,1,3
31,tom1,070,20211002,8,1,8
32,tom1,070,20211002,8,1,8
33,tom1,078,20211002,8,1,8
34,tom1,078,20211002,8,1,8
35,tom1,078,20211002,8,1,8
36,tom1,085,20211002,8,1,8
37,tom1,086,20211002,9,1,9
38,tom1,087,20211002,7,1,7
39,tom1,090,20211002,9,1,9
40,tom1,090,20211002,9,1,9
41,tom1,090,20211002,9,1,9
42,tom1,098,20211002,9,1,9
43,tom1,098,20211002,9,1,9
44,tom1,098,20211002,9,1,9
45,tom1,100,20211002,8,1,8
46,tom1,003,20211006,9,1,9
47,tom1,006,20211006,9,1,9
48,tom1,006,20211006,9,1,9
49,tom1,007,20211006,9,1,9
50,tom1,007,20211006,9,1,9
51,tom1,015,20211006,8,1,8
52,tom1,020,20211006,7,1,7
53,tom1,023,20211007,9,1,9
54,tom1,023,20211007,9,1,9
55,tom1,029,20211007,9,1,9
56,tom1,029,20211007,9,1,9
57,tom1,034,20211007,9,1,9
58,tom1,034,20211007,9,1,9
59,tom1,035,20211007,9,1,9
60,tom1,037,20211007,8,1,8
61,tom1,037,20211007,9,1,9
62,tom1,041,20211007,9,1,9
63,tom1,043,20211007,9,1,9
64,tom1,046,20211007,9,1,9
65,tom1,046,20211007,9,1,9
66,tom1,063,20211008,8,1,8
