,farm_id,number,date,numberOfFruitPerPlant,numberOfFruitPerTruss,fruitingNode
153,tom1,067,20210909,1,5,5
154,tom1,067,20210909,1,5,5
155,tom1,068,20210906,1,1,1
156,tom1,068,20210907,1,1,1
157,tom1,068,20210906,1,2,2
158,tom1,068,20210906,1,2,2
159,tom1,068,20210906,1,2,2
160,tom1,068,20210907,1,2,2
161,tom1,068,20210907,1,2,2
162,tom1,068,20210907,1,2,2
163,tom1,068,20210907,1,3,3
164,tom1,068,20210909,1,5,5
165,tom1,068,20210909,1,5,5
166,tom1,068,20210909,1,5,5
167,tom1,068,20210909,1,5,5
168,tom1,068,20210909,1,5,5
169,tom1,068,20210909,1,5,5
170,tom1,068,20210909,1,6,6
171,tom1,068,20210909,1,6,6
172,tom1,069,20210907,1,1,1
173,tom1,069,20210906,1,2,2
174,tom1,069,20210907,1,3,3
175,tom1,069,20210907,1,4,4
176,tom1,069,20210909,1,5,5
177,tom1,069,20210909,1,5,5
178,tom1,069,20210909,1,5,5
179,tom1,069,20210909,1,6,6
180,tom1,070,20210906,1,1,1
181,tom1,070,20210907,1,4,4
182,tom1,070,20210909,1,5,5
183,tom1,070,20210909,1,6,6
184,tom1,071,20210906,1,1,1
185,tom1,072,20210906,1,2,2
186,tom1,072,20210906,1,2,2
187,tom1,072,20210906,1,2,2
188,tom1,072,20210908,1,6,6
189,tom1,073,20210906,1,3,3
190,tom1,073,20210906,1,3,3
191,tom1,073,20210906,1,3,3
192,tom1,074,20210906,1,2,2
193,tom1,074,20210906,1,2,2
194,tom1,074,20210906,1,2,2
195,tom1,074,20210906,1,4,4
196,tom1,074,20210906,1,4,4
197,tom1,074,20210906,1,4,4
198,tom1,074,20210908,1,6,6
199,tom1,074,20210908,1,6,6
200,tom1,075,20210906,1,3,3
201,tom1,075,20210906,1,3,3
202,tom1,076,20210906,1,2,2
203,tom1,076,20210906,1,2,2
204,tom1,076,20210908,1,6,6
205,tom1,077,20210908,1,6,6
206,tom1,078,20210906,1,3,3
207,tom1,078,20210906,1,3,3
208,tom1,078,20210906,1,3,3
209,tom1,079,20210906,1,4,4
210,tom1,079,20210906,1,4,4
211,tom1,080,20210906,1,2,2
212,tom1,080,20210906,1,2,2
213,tom1,080,20210906,1,3,3
214,tom1,080,20210906,1,3,3
215,tom1,080,20210906,1,3,3
216,tom1,080,20210908,0,6,6
217,tom1,081,20210906,1,1,1
218,tom1,081,20210906,1,1,1
219,tom1,081,20210906,1,2,2
220,tom1,081,20210906,1,3,3
221,tom1,081,20210906,1,3,3
222,tom1,081,20210906,1,3,3
223,tom1,081,20210906,1,4,4
224,tom1,081,20210906,1,5,5
225,tom1,082,20210906,1,3,3
226,tom1,082,20210906,1,3,3
227,tom1,082,20210906,1,4,4
228,tom1,082,20210908,1,6,6
229,tom1,083,20210906,1,2,2
230,tom1,083,20210906,1,2,2
231,tom1,083,20210906,1,3,3
232,tom1,083,20210906,1,3,3
233,tom1,083,20210906,1,4,4
234,tom1,083,20210906,1,4,4
235,tom1,083,20210908,1,6,6
236,tom1,083,20210908,1,6,6
237,tom1,084,20210906,1,2,2
238,tom1,084,20210906,1,2,2
239,tom1,084,20210906,1,3,3
240,tom1,084,20210906,1,4,4
241,tom1,084,20210906,1,4,4
242,tom1,084,20210906,1,5,5
243,tom1,084,20210906,1,5,5
244,tom1,085,20210906,1,2,2
245,tom1,085,20210906,1,2,2
246,tom1,085,20210906,1,2,2
247,tom1,085,20210906,1,2,2
248,tom1,085,20210906,1,4,4
249,tom1,085,20210906,1,4,4
250,tom1,085,20210906,1,5,5
251,tom1,085,20210906,1,5,5
252,tom1,086,20210906,1,2,2
253,tom1,086,20210906,1,2,2
254,tom1,086,20210906,1,3,3
255,tom1,086,20210906,1,3,3
256,tom1,086,20210906,1,5,5
