number,heightOfTheFlowerTruss,passdays
81,61.81,122
79,47.19,122
75,24.5,122
73,35.08,122
72,33.77,122
71,32.88,122
71,39.86,122
68,60.25,122
65,32.57,122
64,21.45,122
63,28.14,122
62,31.72,122
60,52.21,122
59,47.33,122
58,36.5,122
57,28.67,122
56,49.63,122
87,32.92,122
84,34.62,122
52,27.5,122
2,22.62,122
1,24.35,122
84,7.43,122
82,6.65,122
76,6.16,122
66,6.97,122
30,18.48,122
25,14.19,122
24,13.13,122
24,11.5,122
23,47.68,122
21,19.82,122
19,18.69,122
19,18.12,122
26,13.81,122
17,17.38,122
6,26.19,122
18,14.55,122
6,28.42,122
7,3.01,122
9,13.504999999999999,122
10,2.73,122
7,3.43,122
13,23.12,122
13,13.98,122
14,19.65,122
15,12.0,122
16,18.44,122
16,15.22,122
81,25.35,123
85,8.14,123
82,18.05,123
82,14.83,123
81,28.67,123
87,7.93,123
80,12.81,123
76,14.05,123
79,26.87,123
78,19.29,123
78,17.7,123
77,31.68,123
76,20.32,123
88,4.18,123
80,15.86,123
88,3.96,123
95,15.54,123
90,10.58,123
88,46.73,123
90,14.34,123
91,19.75,123
73,10.41,123
100,40.6,123
100,33.66,123
99,11.01,123
99,7.5,123
97,9.13,123
97,10.69,123
95,21.59,123
94,17.66,123
93,22.05,123
93,19.22,123
92,18.48,123
90,9.66,123
73,29.81,123
77,30.65,123
71,1.31,123
43,31.86,123
41,18.16,123
41,15.33,123
40,2.44,123
40,2.69,123
39,2.55,123
39,20.11,123
38,27.72,123
47,17.49,123
38,23.82,123
36,19.82,123
35,19.47,123
34,3.33,123
34,2.9,123
33,3.47,123
32,18.76,123
32,15.82,123
31,2.65,123
72,20.53,123
47,21.91,123
53,39.96,123
53,33.49,123
69,21.49,123
68,27.93,123
67,3.82,123
66,2.9,123
65,20.42,123
51,15.96,123
63,3.19,123
62,22.34,123
62,20.0,123
64,12.0,123
54,11.4,123
55,18.62,123
56,15.82,123
59,12.67,123
57,5.24,123
57,4.07,123
58,16.21,123
58,16.78,123
59,11.54,123
7,5.84,129
6,8.32,129
41,12.14,129
38,7.54,129
37,9.84,129
45,9.38,129
36,18.27,129
8,13.504999999999999,129
9,3.26,129
12,9.56,129
21,12.74,129
36,19.43,129
13,10.02,129
35,16.85,129
33,9.24,129
29,16.32,129
27,21.35,129
23,13.504999999999999,129
56,3.01,130
95,13.504999999999999,130
91,10.55,130
90,8.39,130
88,6.41,130
87,8.35,130
85,28.14,130
85,28.5,130
72,12.04,130
72,16.42,130
68,8.78,130
66,11.08,130
60,8.74,130
52,9.81,130
80,25.35,130
